Fehlerklasse,Metrik,Oracle-Potenzial,Fix-Impact Baseline,Fix-Impact XAI,Δ Fix-Impact (XAI - Baseline),Oracle-normalisiert Baseline,Oracle-normalisiert XAI,p Fix-Impact,dz Fix-Impact
Label Noise / random,accuracy,0.0020467836257309934,0.00029239766081871714,0.00204678362573099,0.0017543859649122727,0.44791666666666613,0.5416666666666677,0.3107805659689027,0.1880581124507434
Label Noise / random,balanced_accuracy,0.0011243386243386133,0.0008928571428571332,0.0011243386243386265,0.0002314814814814933,0.5421927662711037,0.6857585574824571,0.7944456421178256,0.022680435950325005
Label Noise / random,f1,0.0017183401751612397,0.00016320602454988672,0.0017457727879386371,0.0015825667633887503,0.42224021543747725,0.5516521168320814,0.13592202165385756,0.21266031947408584
Label Noise / random,roc_auc,0.00396274250440915,0.003235229276895936,0.0037643298059964678,0.0005291005291005318,0.6985034605602876,0.9164072879452885,0.059897353263583766,0.22001321778593888
Label Noise / random,log_loss,0.048869809387562656,0.05264420915368784,0.051808173466883455,-0.0008360356868043831,0.7363628488636706,0.8527867695242448,0.4427108127662316,-0.01171903939508491
Label Noise / random,brier_score,0.020736396198830366,0.01906845029239761,0.01906852339181282,7.30994152084441e-08,0.9329678784510677,0.9332623938674658,0.991373758871327,2.931300010210689e-05
Label Noise / hard,accuracy,0.02777777777777774,0.01637426900584794,0.014912280701754365,-0.0014619883040935758,0.5918498168498171,0.5565934065934068,0.17878892127064128,-0.19986221148898448
Label Noise / hard,balanced_accuracy,0.02777777777777772,0.015773809523809485,0.013955026455026408,-0.0018187830687830774,0.5402282221478911,0.4637859394542048,0.23438237365260473,-0.21202843220604015
Label Noise / hard,f1,0.022171315895211048,0.013192199661400698,0.012060226004715058,-0.0011319736566856396,0.5911239370310641,0.5627330074855987,0.31089682851661204,-0.19524411317562035
Label Noise / hard,roc_auc,0.0063657407407407,0.004530423280423237,0.003935185185185137,-0.0005952380952381001,0.7074459856617622,0.5949904531758803,0.3051612336111478,-0.2565297956758214
Label Noise / hard,log_loss,0.06661007563014668,0.03209196710609307,0.021131463562126047,-0.010960503543967024,0.4739060172881715,0.16182214486170507,0.1909265697823631,-0.20774819761838278
Label Noise / hard,brier_score,0.013403011695906387,0.007465657894736809,0.00675032163742687,-0.0007153362573099386,0.5072664009810753,0.4551560199410714,0.2014511720662171,-0.2804642805475473
Data Leakage / direct,accuracy,0.14649122807017537,0.14649122807017537,0.14649122807017537,0.0,1.0,1.0,1.0,
Data Leakage / direct,balanced_accuracy,0.13878968253968252,0.13878968253968252,0.13878968253968252,0.0,1.0,1.0,1.0,
Data Leakage / direct,f1,0.1247747329808451,0.1247747329808451,0.1247747329808451,0.0,1.0,1.0,1.0,
Data Leakage / direct,roc_auc,0.07509920634920632,0.07509920634920632,0.07509920634920632,0.0,1.0,1.0,1.0,
Data Leakage / direct,log_loss,0.23438031884073768,0.23438031884073768,0.23438031884073768,0.0,1.0,1.0,1.0,
Data Leakage / direct,brier_score,0.08432885964912279,0.08432885964912279,0.08432885964912279,0.0,1.0,1.0,1.0,
Data Leakage / indirect,accuracy,-0.0014619883040935667,0.0026315789473684136,-1.1564823173178714e-19,-0.0026315789473684136,0.7142857142857125,0.5714285714285696,0.022762546531346548,-0.503386589265573
Data Leakage / indirect,balanced_accuracy,-0.001157407407407413,0.0020833333333333203,-6.591949208711867e-18,-0.002083333333333327,0.6547619047619053,0.6685463659147878,0.03256607710351896,-0.34822008779498376
Data Leakage / indirect,f1,-0.0012546928531368734,0.0020984293355820805,-4.466219662900015e-05,-0.0021430915322110805,0.7244905080418175,0.5576484018264839,0.0057715890441035304,-0.5163828459163785
Data Leakage / indirect,roc_auc,0.00035273368606703,0.00046296296296298033,0.000942460317460327,0.0004794973544973467,0.7043421855921914,0.6315435372121496,0.22728288317784962,0.14911434240711866
Data Leakage / indirect,log_loss,0.012244267910218066,0.009458416339414615,0.010437463799284232,0.0009790474598696166,0.4869731065249186,2.7138096870263997,0.1789561131984324,0.00983054438463288
Data Leakage / indirect,brier_score,0.00062711257309939,0.0003411257309941399,0.00045653508771928674,0.00011540935672514684,,,0.7368753708069717,0.06585337979247
Spurious Correlation / broken,accuracy,0.0005847953216374234,0.0020467836257309865,0.0008771929824561402,-0.0011695906432748465,0.29166666666666485,0.1458333333333317,0.6896908033971029,-0.1825741858350547
Spurious Correlation / broken,balanced_accuracy,0.0007936507936508033,0.0019510582010582036,0.00119047619047619,-0.0007605820105820137,0.387820512820513,0.25801282051282015,0.549554159151999,-0.10253330588418494
Spurious Correlation / broken,f1,0.00046647758057694673,0.0016979524016604202,0.0006966595515100466,-0.0010012928501503737,0.28295185666657546,0.13508962752646247,0.05909459112006756,-0.20171857466581394
Spurious Correlation / broken,roc_auc,0.00021494708994709006,0.0001377865961199033,0.00044091710758375,0.00030313051146384673,0.5427906915454406,0.34816176470588783,0.46875517631204866,0.11357681073477041
Spurious Correlation / broken,log_loss,0.019515226112554372,0.01750621417652113,0.017641843631373902,0.00013562945485277172,0.49315054348851717,0.3142831466132222,0.9404809859004396,0.0013578142205397752
Spurious Correlation / broken,brier_score,0.0004863304093567165,0.0003501315789473583,0.0002609576023391809,-8.917397660817742e-05,,,0.5754862281364963,-0.0492580786680503
Spurious Correlation / inverted,accuracy,0.0008771929824561336,0.0020467836257309835,0.0008771929824561367,-0.0011695906432748469,0.1666666666666633,0.020833333333330165,0.6896908033971029,-0.1825741858350547
Spurious Correlation / inverted,balanced_accuracy,0.0011904761904761967,0.0019510582010582003,0.0011904761904761867,-0.0007605820105820137,0.26282051282051294,0.13301282051282015,0.549554159151999,-0.10253330588418494
Spurious Correlation / inverted,f1,0.0006897285080532234,0.0016977039677063034,0.0006964111175559298,-0.0010012928501503737,0.1580366666921186,0.010174437552005616,0.05909459112006756,-0.20171857466581394
Spurious Correlation / inverted,roc_auc,0.00034171075837740634,0.0001873897707230896,0.0005015432098764992,0.00031415343915340967,0.5378887307611273,0.3481617647058796,0.39569623441123125,0.11919475961721618
Spurious Correlation / inverted,log_loss,0.020830080617850223,0.017640335988105917,0.017759144931160556,0.00011880894305463935,0.36870151044333377,2.8103996574876047,0.9404809859004396,0.0011892846409704335
Spurious Correlation / inverted,brier_score,0.0007270687134502877,0.0003609576023391634,0.00026970029239765166,-9.125730994151172e-05,,,0.5754862281364963,-0.050404895195130646
